date,doy,ndvi_mean
2019-01-01,1,0.1326
2019-01-06,6,0.1386
2019-01-16,16,0.1398
2019-01-26,26,0.1465
2019-02-10,41,0.1479
2019-02-15,46,0.1473
2019-02-25,56,0.1364
2019-03-02,61,0.1405
2019-03-07,66,0.1356
2019-03-12,71,0.1294
2019-03-17,76,0.1369
2019-04-06,96,0.1264
2019-04-11,101,0.1202
2019-04-16,106,0.1245
2019-04-26,116,0.1347
2019-05-01,121,0.1448
2019-05-06,126,0.1426
2019-05-11,131,0.1236
2019-05-16,136,0.1495
2019-05-31,151,0.1294
2019-06-05,156,0.1307
2019-06-10,161,0.0943
2019-06-25,176,0.125
2019-06-30,181,0.1162
2019-07-05,186,0.1136
2019-07-10,191,0.1196
2019-07-15,196,0.1074
2019-07-20,201,0.1056
2019-07-25,206,0.1137
2019-07-30,211,0.0987
2019-08-04,216,0.1034
2019-08-09,221,0.1069
2019-08-14,226,0.1043
2019-08-19,231,0.1015
2019-08-24,236,0.1076
2019-08-29,241,0.066
2019-09-03,246,0.1118
2019-09-08,251,0.077
2019-09-13,256,0.0449
2019-09-28,271,0.1291
2019-10-18,291,0.1294
2019-10-23,296,0.1169
2019-11-02,306,0.1529
2019-11-07,311,0.1756
2019-11-17,321,0.1633
2019-11-27,331,0.1609
2019-12-02,336,0.1451
2019-12-12,346,0.1701
2019-12-22,356,0.1624
2019-12-27,361,0.1639
2020-01-01,1,0.1815
2020-01-06,6,0.1597
2020-01-16,16,0.0362
2020-01-31,31,0.1503
2020-02-05,36,0.1008
2020-02-10,41,0.165
2020-02-15,46,0.1539
2020-02-20,51,0.162
2020-02-25,56,0.1592
2020-03-01,61,0.1591
2020-03-11,71,0.0872
2020-03-21,81,0.1232
2020-03-26,86,0.1465
2020-03-31,91,0.1295
2020-04-05,96,0.1389
2020-04-10,101,0.129
2020-04-30,121,0.1326
2020-05-05,126,0.1281
2020-05-10,131,0.1271
2020-05-20,141,0.1293
2020-05-25,146,0.1298
2020-05-30,151,0.1308
2020-06-04,156,0.1143
2020-06-09,161,0.1027
2020-06-14,166,0.11
2020-06-19,171,0.1244
2020-06-24,176,0.1185
2020-06-29,181,0.1129
2020-07-04,186,0.1119
2020-07-09,191,0.1148
2020-07-14,196,0.1047
2020-07-19,201,0.0827
2020-07-24,206,0.1166
2020-07-29,211,0.117
2020-08-03,216,0.1091
2020-08-08,221,0.114
2020-08-13,226,0.1071
2020-08-18,231,0.1128
2020-08-23,236,0.1111
2020-08-28,241,0.1237
2020-09-07,251,0.1212
2020-09-12,256,0.1144
2020-09-17,261,0.1349
2020-09-27,271,0.1477
2020-10-02,276,0.1434
2020-10-17,291,0.1551
2020-10-22,296,0.1415
2020-11-01,306,0.1376
2020-11-06,311,0.1109
2020-11-06,311,0.1109
2020-11-11,316,0.141
2020-11-21,326,0.0889
2020-11-26,331,0.1387
2020-12-01,336,0.1343
2020-12-06,341,0.1627
2020-12-11,346,0.1657
2020-12-16,351,0.1431
2020-12-31,366,0.1611
2021-01-15,15,0.1619
2021-01-30,30,0.1546
2021-02-09,40,0.1608
2021-02-19,50,0.1633
2021-03-01,60,0.1365
2021-03-06,65,0.1187
2021-03-11,70,0.1363
2021-03-16,75,0.1436
2021-03-26,85,0.1433
2021-03-31,90,0.1361
2021-04-25,115,0.1318
2021-05-10,130,0.1113
2021-05-15,135,0.1283
2021-05-20,140,0.1158
2021-05-25,145,0.0751
2021-05-25,145,0.1124
2021-05-30,150,0.1115
2021-06-04,155,0.1162
2021-06-09,160,0.1202
2021-06-14,165,0.1238
2021-06-19,170,0.1042
2021-06-24,175,0.109
2021-06-29,180,0.1068
2021-07-04,185,0.1084
2021-07-09,190,0.1096
2021-07-14,195,0.1089
2021-07-19,200,0.1143
2021-07-24,205,0.1235
2021-07-29,210,0.1174
2021-08-03,215,0.1112
2021-08-08,220,0.1062
2021-08-13,225,0.1166
2021-08-18,230,0.0968
2021-08-23,235,0.1201
2021-08-28,240,0.1046
2021-09-02,245,0.097
2021-09-07,250,0.1069
2021-09-12,255,0.1079
2021-09-17,260,0.1086
2021-09-22,265,0.089
2021-09-27,270,0.0989
2021-10-07,280,0.1139
2021-10-12,285,0.1219
2021-10-17,290,0.1143
2021-10-22,295,0.092
2021-11-01,305,0.1017
2021-11-11,315,0.1283
2021-12-01,335,0.1278
2021-12-21,355,0.1421
2021-12-31,365,0.1332
2022-01-05,5,0.137
2022-01-15,15,0.151
2022-01-20,20,0.1487
2022-01-30,30,0.1411
2022-02-04,35,0.1454
2022-02-09,40,0.143
2022-03-01,60,0.1381
2022-03-11,70,0.1324
2022-03-31,90,0.0927
2022-04-10,100,0.1291
2022-05-15,135,0.1332
2022-05-20,140,0.1098
2022-06-04,155,0.1345
2022-06-14,165,0.1253
2022-06-14,165,0.1235
2022-06-19,170,0.1092
2022-06-19,170,0.1216
2022-06-24,175,0.1271
2022-06-29,180,0.1025
2022-07-04,185,0.1205
2022-07-09,190,0.1254
2022-07-14,195,0.1166
2022-07-19,200,0.1298
2022-07-24,205,0.1309
2022-07-29,210,0.1176
2022-08-03,215,0.0993
2022-08-08,220,0.1201
2022-08-13,225,0.116
2022-08-18,230,0.1132
2022-08-23,235,0.1081
2022-08-28,240,0.1219
2022-09-02,245,0.0975
2022-09-12,255,0.1046
2022-10-02,275,0.1348
2022-10-07,280,0.1046
2022-10-17,290,0.1033
2022-10-22,295,0.1407
2022-10-27,300,0.1514
2022-11-01,305,0.1393
2022-11-06,310,0.1331
2022-11-16,320,0.1406
2022-11-21,325,0.1402
2022-12-01,335,0.1372
2022-12-11,345,0.1303
2022-12-16,350,0.1378
2022-12-21,355,0.1342
2022-12-26,360,0.1426
2022-12-31,365,0.1433
2023-01-05,5,0.1378
2023-01-10,10,0.1313
2023-01-15,15,0.1423
2023-01-20,20,0.1314
2023-02-04,35,0.1391
2023-02-14,45,0.1512
2023-02-19,50,0.1417
2023-02-24,55,0.1354
2023-03-01,60,0.1399
2023-03-11,70,0.1202
2023-03-16,75,0.1385
2023-03-26,85,0.1467
2023-03-31,90,0.1435
2023-04-10,100,0.1404
2023-04-15,105,0.137
2023-04-25,115,0.1274
2023-05-20,140,0.0584
2023-06-14,165,0.0833
2023-06-19,170,0.1193
2023-06-24,175,0.116
2023-06-29,180,0.1167
2023-07-04,185,0.1147
2023-07-14,195,0.1342
2023-07-19,200,0.1192
2023-07-24,205,0.1231
2023-07-29,210,0.1064
2023-08-03,215,0.1047
2023-08-08,220,0.115
2023-08-13,225,0.1174
2023-08-18,230,0.1129
2023-08-23,235,0.1093
2023-09-02,245,0.0866
2023-09-07,250,0.1047
2023-09-12,255,0.1161
2023-09-17,260,0.1101
2023-09-22,265,0.1158
2023-09-27,270,0.1033
2023-10-02,275,0.0485
2023-10-07,280,0.1098
2023-10-12,285,0.1216
2023-10-17,290,0.1249
2023-10-22,295,0.0532
2023-10-27,300,0.1229
2023-11-11,315,0.1228
2023-11-16,320,0.1189
2023-11-21,325,0.1265
2023-11-21,325,0.1255
2023-11-26,330,0.1293
2023-12-11,345,0.1192
2023-12-16,350,0.1303
2023-12-21,355,0.1316
2023-12-26,360,0.139
2023-12-31,365,0.1354
2024-01-05,5,0.1225
2024-01-20,20,0.134
2024-01-25,25,0.1434
2024-01-30,30,0.1507
2024-02-04,35,0.1451
2024-02-14,45,0.1504
2024-02-19,50,0.1435
2024-03-05,65,0.1246
2024-03-15,75,0.1332
2024-03-20,80,0.1325
2024-03-30,90,0.1394
2024-04-04,95,0.131
2024-05-04,125,0.1211
2024-05-19,140,0.113
2024-06-08,160,0.1129
2024-06-18,170,0.0823
2024-06-23,175,0.106
2024-06-28,180,0.109
2024-07-03,185,0.1114
2024-07-08,190,0.0913
2024-07-13,195,0.1068
2024-07-18,200,0.1167
2024-07-23,205,0.1055
2024-07-28,210,0.1165
2024-08-07,220,0.115
2024-08-12,225,0.1029
2024-08-22,235,0.119
2024-08-27,240,0.1144
2024-09-06,250,0.1028
2024-09-11,255,0.1039
2024-09-16,260,0.1159
2024-09-26,270,0.1081
2024-10-01,275,0.1106
2024-10-11,285,0.1201
2024-11-05,310,0.1774
2024-11-10,315,0.1573
2024-11-15,320,0.1913
2024-11-20,325,0.1979
2024-11-30,335,0.2074
2024-12-05,340,0.2277
2024-12-25,360,0.2118
